year,resolution,modularity,cafFob,nb_communities
1860,2.8000000000000003,0.5806645364775879,fob,13
1860,3.0000000000000004,0.5629442690181058,fob,14
1860,3.2000000000000006,0.5600642363497951,fob,14
1860,3.400000000000001,0.5449318128079772,fob,16
1860,3.600000000000001,0.5425615375690742,fob,17
1860,3.800000000000001,0.5425615375690742,fob,17
1861,0.4,0.5017674265771088,caf,4
1861,0.6000000000000001,0.5644259473228047,caf,6
1861,0.8,0.5805542608391611,caf,8
1861,1,0.5873396324664868,caf,10
1861,1.2,0.5862730337599491,caf,11
1861,1.4,0.5887502049449375,caf,11
1861,1.5999999999999999,0.5898876772330722,caf,11
1861,1.7999999999999998,0.5892675510733544,caf,11
1861,1.9999999999999998,0.5885712074867264,caf,11
1861,2.1999999999999997,0.5683532191128987,caf,13
1861,2.4,0.571075487679607,caf,13
1861,2.6,0.5699355010254974,caf,13
1861,2.8000000000000003,0.5504513527040615,caf,14
1861,3.0000000000000004,0.5492108674969706,caf,14
1861,3.2000000000000006,0.5369245917061196,caf,15
1861,3.400000000000001,0.5431778532929793,caf,15
1861,3.600000000000001,0.5282703827479747,caf,16
1861,3.800000000000001,0.5217443330937792,caf,17
1861,0.4,0.5076892293946875,fob,5
1861,0.6000000000000001,0.5644259473228047,fob,6
1861,0.8,0.5813627895065107,fob,9
1861,1,0.5882534113386174,fob,11
1861,1.2,0.5862730337599491,fob,11
1861,1.4,0.5882534113386174,fob,11
1861,1.5999999999999999,0.5896860521118867,fob,11
1861,1.7999999999999998,0.5888631102387011,fob,11
1861,1.9999999999999998,0.5758048056168604,fob,12
1861,2.1999999999999997,0.588064646246212,fob,11
1861,2.4,0.571075487679607,fob,13
1861,2.6,0.5690827471682323,fob,13
1861,2.8000000000000003,0.5514981895905009,fob,14
1861,3.0000000000000004,0.5497724998963668,fob,14
1861,3.2000000000000006,0.548878836111795,fob,14
1861,3.400000000000001,0.5300042433434107,fob,16
1861,3.600000000000001,0.5279446809886531,fob,16
1861,3.800000000000001,0.5214186313344576,fob,17
1862,0.4,0.5562836376362339,caf,6
1862,0.6000000000000001,0.5701098634488796,caf,7
1862,0.8,0.58588605872453,caf,9
1862,1,0.58588605872453,caf,9
1862,1.2,0.5845128919406191,caf,9
1862,1.4,0.5800052078861077,caf,10
1862,1.5999999999999999,0.5801240537917967,caf,10
1862,1.7999999999999998,0.5682726110386909,caf,12
1862,1.9999999999999998,0.5659819103419372,caf,12
1862,2.1999999999999997,0.5619214794273076,caf,13
1862,2.4,0.5649525480287488,caf,12
1862,2.6,0.5428768912027192,caf,14
1862,2.8000000000000003,0.5280646057333443,caf,16
1862,3.0000000000000004,0.5280646057333443,caf,16
1862,3.2000000000000006,0.523317038802814,caf,17
1862,3.400000000000001,0.5188420954500785,caf,18
1862,3.600000000000001,0.5188997093041698,caf,18
