id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
950<-9321,1917,950,Fiji,GPH-AUTONOMOUS-CITED,9321,Wallis and Futuna Is.,GPH-AUTONOMOUS-CITED,703,950,,,,,,ok,
950<-710,1917,950,Fiji,GPH-AUTONOMOUS-CITED,710,People's Republic of China (China),GPH-AUTONOMOUS-CITED,402,950,,,,,,ok,
950<-740,1917,950,Fiji,GPH-AUTONOMOUS-CITED,740,Japan,GPH-AUTONOMOUS-CITED,21786,950,,,,,,ok,
950<-9900,1917,950,Fiji,GPH-AUTONOMOUS-CITED,9900,Samoa,GPH,1004,950,,,,,,ignore_resolved,
950<-2,1917,950,Fiji,GPH-AUTONOMOUS-CITED,2,United States of America,GPH-AUTONOMOUS-CITED,68575,950,,,,,,ok,
950<-4,1917,950,Fiji,GPH-AUTONOMOUS-CITED,4,Hawaii (Sandwich Is.),GPH-AUTONOMOUS-CITED,8792,950,,,,,,ok,
950->200,1917,200,United Kingdom,GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,7645,950,,,,,,ok,
950->720,1917,720,Hong Kong,GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,2581,950,,,,,,ok,
950->900,1917,900,Australia,GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,527480,950,,,,,,ok,
950->920,1917,920,New Zealand,GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,1011357,950,,,,,,ok,
950->20,1917,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,183896,950,,,,,,ok,
950->British Colonies (other),1917,British Colonies (other),British Colonies (other),RIC,950,Fiji,GPH-AUTONOMOUS-CITED,884,950,,884,,21|30|31|51|52|53|80|110|231|338|352|420|452|475|560|570|590|591|780|821|827|935|945|1055|1063|1163|4050|5522|5523|8218|9004|9620,,split_failed_no_ratio,
950->740,1917,740,Japan,GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,15043,950,,,,,,ok,
950->2,1917,2,United States of America,GPH-AUTONOMOUS-CITED,950,Fiji,GPH-AUTONOMOUS-CITED,318731,950,,,,,,ok,
955<-200,1917,955,Tonga (Haʻapai),GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,1233,955,,,,,,ok,
955<-900,1917,955,Tonga (Haʻapai),GPH-AUTONOMOUS-CITED,900,Australia,GPH-AUTONOMOUS-CITED,43366,955,,,,,,ok,
