key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
235-380,235,380,19.415048476032943,10327.27833526937,1,0,0,0,10327.27833526937,1,Portugal,Sovereign,0,0.1,1,1,Sweden,Sovereign,0,0.06470588235294118
2-380,2,380,18.7208510876922,74191.16756057515|33356,0,1,0,bridge,74191.16756057515,1,United States of America,Sovereign,1,0.04596491228070175,1,1,Sweden,Sovereign,0,0.06470588235294118
140-380,140,380,20.353691343044495,194235.45092974632|1913.1657035764488,0.9,0.09999999999999998,0.35999999999999993,0,194235.45092974632,1,Brazil,Sovereign,0,0.24153846153846148,1,1,Sweden,Sovereign,0,0.06470588235294118
200-3349,200,3349,17.96426673131535,128260.1905356864,0,1,0,bridge,128260.1905356864,1,United Kingdom,Sovereign,1,0.006333333333333333,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
300-3349,300,3349,20.994058333872147,110495.08043104796,1,0,0,2,110495.08043104796,1,Austria-Hungary (Austrian Empire),Sovereign,2,0.008636363636363636,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
211-3349,211,3349,18.697970687241327,32211.463376542248,0,1,0,bridge,32211.463376542248,1,Belgium,Sovereign,0,0.34270270270270264,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
327-3349,327,3349,20.996576310623293,17569.889114477588|6637.5136654693115,1,0,0,2,17569.889114477588,1,Papal States,Sovereign,2,0,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
220-3349,220,3349,18.144014732497933,45681.71169764173,0,1,0,bridge,45681.71169764173,1,France,Sovereign,0,0.15072727272727274,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
3349-350,350,3349,22.164626631171977,27330.938622520694|13984.069967202875,1,0,0,2,27330.938622520694,1,Greece,Sovereign,2,0.013571428571428571,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
210-3349,210,3349,18.728358299857945,32211.463376542248,1,0,0,2,32211.463376542248,1,Netherlands,Sovereign,2,0.013571428571428571,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
3349-338,338,3349,22.035623867298977,9370.60752772138,1,0,0,2,9370.60752772138,1,Malta,Colony of,2,0,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
329-3349,329,3349,19.07128815924791,17179.447134155864,1,0,0,2,17179.447134155864,1,Two Sicilies,Sovereign,2,0,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
3349-365,365,3349,20.724083016183663,183117.28877088867|15394.882325067128,0.05,0.95,0.19,bridge,183117.28877088867,1,Russia (USSR),Sovereign,2,0.14678571428571435,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
3349-337,337,3349,19.535063465122285,9956.270498203967,1,0,0,2,9956.270498203967,1,Tuscany,Sovereign,2,0,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
3349-640,640,3349,20.778079974335924,135483.3671716383|1579.656753132158,1,0,0,2,135483.3671716383,1,Turkey (Ottoman Empire),Sovereign,2,0.030555555555555558,1,1,Ionian Is.,Protectorate of,2,0.013571428571428571
140-248,140,248,19.896909454219504,901065.2971386646|20264,0.15,0.85,0.51,bridge,901065.2971386646,1,Brazil,Sovereign,0,0.24153846153846148,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-40,40,248,19.16302436124583,380334.5561261922,0.4,0.6,0.96,bridge,380334.5561261922,1,Cuba,Colony of,0,0.5275000000000001,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
2-248,2,248,19.04660787046984,540305.9427732942|290684,0,1,0,bridge,540305.9427732942,1,United States of America,Sovereign,1,0.04596491228070175,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-41,41,248,19.530160610600664,183809.97798972853,1,0,0,3,183809.97798972853,1,Haiti,Sovereign (unrecognized),3,0,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
101-248,101,248,19.509588552682164,144655.1724137931,0.4,0.6,0.96,bridge,144655.1724137931,1,Venezuela,Sovereign,0,0.5275000000000001,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-850,850,248,19.20249082672139,92664.71019809243|14161,0,1,0,bridge,92664.71019809243,1,Indonesia (Dutch East Indies),Colony of,4,0.10733333333333334,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
248-710,710,248,13.920943074562114,5881.144534115921,0,1,0,bridge,5881.144534115921,1,People's Republic of China (China),Sovereign (unrecognized),4,0.11875000000000006,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
160-248,160,248,18.094228749215105,50864.26999266324,0,1,0,bridge,50864.26999266324,1,Argentina (La Plata),Sovereign,0,0.268,1,1,Hamburg,Sovereign (unrecognized),3,0.20250000000000004
